127.0.0.1, 2018-04-16 15:19:18, GET, /, HTTP/1.1, 303, 0.038316
127.0.0.1, 2018-04-16 15:19:19, GET, /welcome/default/index, HTTP/1.1, 200, 0.623575
127.0.0.1, 2018-04-16 15:19:26, GET, /, HTTP/1.1, 303, 0.000376
127.0.0.1, 2018-04-16 15:19:26, GET, /welcome/default/index, HTTP/1.1, 200, 0.064562
127.0.0.1, 2018-04-16 15:19:26, GET, /welcome/static/css/web2py-bootstrap4.css, HTTP/1.1, 200, 0.000403
127.0.0.1, 2018-04-16 15:19:26, GET, /welcome/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.001133
127.0.0.1, 2018-04-16 15:19:26, GET, /welcome/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 200, 0.000838
127.0.0.1, 2018-04-16 15:19:26, GET, /welcome/static/js/jquery.js, HTTP/1.1, 200, 0.000433
127.0.0.1, 2018-04-16 15:19:26, GET, /welcome/static/js/web2py.js, HTTP/1.1, 200, 0.001225
127.0.0.1, 2018-04-16 15:19:26, GET, /welcome/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.000651
127.0.0.1, 2018-04-16 15:19:26, GET, /welcome/static/js/calendar.js, HTTP/1.1, 200, 0.001203
127.0.0.1, 2018-04-16 15:19:26, GET, /welcome/static/css/calendar.css, HTTP/1.1, 200, 0.000804
127.0.0.1, 2018-04-16 15:19:26, GET, /welcome/static/js/web2py-bootstrap4.js, HTTP/1.1, 200, 0.001117
127.0.0.1, 2018-04-16 15:19:26, GET, /welcome/static/js/share.js, HTTP/1.1, 200, 0.000339
127.0.0.1, 2018-04-16 15:19:27, GET, /welcome/static/images/twitter.png, HTTP/1.1, 200, 0.000608
127.0.0.1, 2018-04-16 15:19:27, GET, /welcome/static/images/facebook.png, HTTP/1.1, 200, 0.000482
127.0.0.1, 2018-04-16 15:19:27, GET, /welcome/static/images/gplus-32.png, HTTP/1.1, 200, 0.000328
127.0.0.1, 2018-04-16 15:19:27, GET, /welcome/static/images/favicon.ico, HTTP/1.1, 200, 0.000312
127.0.0.1, 2018-04-16 15:20:12, GET, /admin/default/index, HTTP/1.1, 200, 0.151010
127.0.0.1, 2018-04-16 15:20:12, GET, /admin/static/_2.16.1/js/jquery.js, HTTP/1.1, 200, 0.000252
127.0.0.1, 2018-04-16 15:20:12, GET, /admin/static/_2.16.1/css/calendar.css, HTTP/1.1, 200, 0.001296
127.0.0.1, 2018-04-16 15:20:12, GET, /admin/static/_2.16.1/js/web2py.js, HTTP/1.1, 200, 0.001798
127.0.0.1, 2018-04-16 15:20:12, GET, /admin/static/_2.16.1/plugin_multiselect/jquery.multi-select.js, HTTP/1.1, 200, 0.001434
127.0.0.1, 2018-04-16 15:20:12, GET, /admin/static/_2.16.1/js/calendar.js, HTTP/1.1, 200, 0.000982
127.0.0.1, 2018-04-16 15:20:12, GET, /admin/static/_2.16.1/plugin_multiselect/multi-select.css, HTTP/1.1, 200, 0.001850
